Id,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageArea,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,65,8450,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,196,Gd,TA,PConc,Gd,TA,856,GasA,856,854,0,1710,2,3,1,Gd,8,Typ,0,Attchd,548,TA,Y,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,80,9600,Pave,NA,AllPub,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,0,TA,TA,CBlock,Gd,TA,1262,GasA,1262,0,0,1262,2,3,1,TA,6,Typ,1,Attchd,460,TA,Y,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,68,11250,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,162,Gd,TA,PConc,Gd,TA,920,GasA,920,866,0,1786,2,3,1,Gd,6,Typ,1,Attchd,608,TA,Y,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,60,9550,Pave,NA,AllPub,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,Gd,756,GasA,961,756,0,1717,1,3,1,Gd,7,Typ,1,Detchd,642,TA,Y,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,84,14260,Pave,NA,AllPub,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,350,Gd,TA,PConc,Gd,TA,1145,GasA,1145,1053,0,2198,2,4,1,Gd,9,Typ,1,Attchd,836,TA,Y,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,85,14115,Pave,NA,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,0,TA,TA,Wood,Gd,TA,796,GasA,796,566,0,1362,1,1,1,TA,5,Typ,0,Attchd,480,TA,Y,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000
7,75,10084,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,186,Gd,TA,PConc,Ex,TA,1686,GasA,1694,0,0,1694,2,3,1,Gd,7,Typ,1,Attchd,636,TA,Y,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,NA,10382,Pave,NA,AllPub,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,240,TA,TA,CBlock,Gd,TA,1107,GasA,1107,983,0,2090,2,3,1,TA,7,Typ,2,Attchd,484,TA,Y,0,NA,NA,Shed,350,11,2009,WD,Normal,200000
9,51,6120,Pave,NA,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,0,TA,TA,BrkTil,TA,TA,952,GasA,1022,752,0,1774,2,2,2,TA,8,Min1,2,Detchd,468,TA,Y,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900
10,50,7420,Pave,NA,AllPub,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,0,TA,TA,BrkTil,TA,TA,991,GasA,1077,0,0,1077,1,2,2,TA,5,Typ,2,Attchd,205,TA,Y,0,NA,NA,NA,0,1,2008,WD,Normal,118000
11,70,11200,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,1040,GasA,1040,0,0,1040,1,3,1,TA,5,Typ,0,Detchd,384,TA,Y,0,NA,NA,NA,0,2,2008,WD,Normal,129500
12,85,11924,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,286,Ex,TA,PConc,Ex,TA,1175,GasA,1182,1142,0,2324,3,4,1,Ex,11,Typ,2,BuiltIn,736,TA,Y,0,NA,NA,NA,0,7,2006,New,Partial,345000
13,NA,12968,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,912,GasA,912,0,0,912,1,2,1,TA,4,Typ,0,Detchd,352,TA,Y,0,NA,NA,NA,0,9,2008,WD,Normal,144000
